x,B,f,A0,Atheta,A0`, energy, f`
10.206981,0.005740,1.001425,0.002880,-25.047816,-0.004698,0.000034,-0.000281
10.213079,0.005708,1.001423,0.002851,-25.047460,-0.004660,0.000034,-0.000298
10.219176,0.005676,1.001422,0.002823,-25.047105,-0.004623,0.000033,-0.000315
10.225274,0.005652,1.001420,0.002795,-25.046753,-0.004586,0.000033,-0.000332
10.231071,0.005613,1.001418,0.002768,-25.046419,-0.004550,0.000032,-0.000347
10.236868,0.005641,1.001416,0.002742,-25.046087,-0.004522,0.000032,-0.000362
10.240443,0.005564,1.001414,0.002726,-25.045883,-0.004493,0.000032,-0.000372
10.244019,0.005557,1.001413,0.002710,-25.045679,-0.004473,0.000031,-0.000381
10.247144,0.005529,1.001412,0.002696,-25.045502,-0.004453,0.000031,-0.000389
10.250268,0.005515,1.001410,0.002682,-25.045325,-0.004435,0.000031,-0.000397
10.253317,0.005497,1.001409,0.002669,-25.045153,-0.004416,0.000031,-0.000404
10.256366,0.005481,1.001408,0.002655,-25.044982,-0.004398,0.000030,-0.000412
10.259414,0.005465,1.001407,0.002642,-25.044810,-0.004380,0.000030,-0.000419
10.262463,0.005449,1.001405,0.002628,-25.044640,-0.004362,0.000030,-0.000426
10.265512,0.005433,1.001404,0.002615,-25.044469,-0.004344,0.000030,-0.000434
10.268561,0.005417,1.001403,0.002602,-25.044300,-0.004326,0.000030,-0.000441
10.271610,0.005401,1.001401,0.002589,-25.044130,-0.004308,0.000029,-0.000448
10.274659,0.005385,1.001400,0.002576,-25.043961,-0.004291,0.000029,-0.000455
10.277708,0.005369,1.001399,0.002563,-25.043793,-0.004273,0.000029,-0.000462
10.280757,0.005353,1.001397,0.002550,-25.043625,-0.004255,0.000029,-0.000469
10.283806,0.005337,1.001396,0.002537,-25.043457,-0.004238,0.000028,-0.000476
10.286855,0.005321,1.001394,0.002524,-25.043290,-0.004220,0.000028,-0.000482
10.289904,0.005306,1.001393,0.002511,-25.043124,-0.004203,0.000028,-0.000489
10.292952,0.005290,1.001391,0.002498,-25.042957,-0.004185,0.000028,-0.000496
10.296001,0.005274,1.001390,0.002485,-25.042791,-0.004168,0.000028,-0.000502
10.299050,0.005258,1.001388,0.002473,-25.042626,-0.004150,0.000027,-0.000509
10.302099,0.005242,1.001387,0.002460,-25.042461,-0.004133,0.000027,-0.000515
10.305148,0.005227,1.001385,0.002448,-25.042297,-0.004116,0.000027,-0.000521
10.308197,0.005211,1.001384,0.002435,-25.042133,-0.004099,0.000027,-0.000528
10.311246,0.005195,1.001382,0.002423,-25.041969,-0.004082,0.000027,-0.000534
10.314295,0.005179,1.001380,0.002410,-25.041806,-0.004064,0.000026,-0.000540
10.317344,0.005164,1.001379,0.002398,-25.041644,-0.004047,0.000026,-0.000546
10.320393,0.005148,1.001377,0.002385,-25.041481,-0.004030,0.000026,-0.000552
10.323442,0.005132,1.001375,0.002373,-25.041320,-0.004014,0.000026,-0.000558
10.326490,0.005117,1.001374,0.002361,-25.041158,-0.003997,0.000026,-0.000564
10.329539,0.005101,1.001372,0.002349,-25.040997,-0.003980,0.000025,-0.000570
10.332588,0.005085,1.001370,0.002337,-25.040837,-0.003963,0.000025,-0.000575
10.335637,0.005070,1.001368,0.002325,-25.040677,-0.003946,0.000025,-0.000581
10.338686,0.005054,1.001367,0.002313,-25.040517,-0.003930,0.000025,-0.000587
10.341735,0.005038,1.001365,0.002301,-25.040358,-0.003913,0.000025,-0.000592
10.344784,0.005023,1.001363,0.002289,-25.040200,-0.003897,0.000024,-0.000598
10.347833,0.005007,1.001361,0.002277,-25.040042,-0.003880,0.000024,-0.000603
10.350882,0.004992,1.001359,0.002265,-25.039884,-0.003864,0.000024,-0.000608
10.353931,0.004976,1.001357,0.002253,-25.039726,-0.003847,0.000024,-0.000614
10.356980,0.004961,1.001356,0.002242,-25.039570,-0.003831,0.000024,-0.000619
10.360028,0.004945,1.001354,0.002230,-25.039413,-0.003815,0.000024,-0.000624
10.363077,0.004930,1.001352,0.002218,-25.039257,-0.003798,0.000023,-0.000629
10.366126,0.004914,1.001350,0.002207,-25.039102,-0.003782,0.000023,-0.000634
10.369175,0.004899,1.001348,0.002195,-25.038947,-0.003766,0.000023,-0.000639
10.372224,0.004883,1.001346,0.002184,-25.038792,-0.003750,0.000023,-0.000644
10.375273,0.004868,1.001344,0.002173,-25.038638,-0.003734,0.000023,-0.000649
10.378322,0.004853,1.001342,0.002161,-25.038484,-0.003718,0.000023,-0.000654
10.381371,0.004837,1.001340,0.002150,-25.038331,-0.003702,0.000022,-0.000658
10.384420,0.004822,1.001338,0.002139,-25.038178,-0.003686,0.000022,-0.000663
10.387469,0.004807,1.001336,0.002127,-25.038025,-0.003670,0.000022,-0.000668
10.390518,0.004791,1.001334,0.002116,-25.037873,-0.003655,0.000022,-0.000672
10.393566,0.004776,1.001332,0.002105,-25.037722,-0.003639,0.000022,-0.000677
10.396615,0.004761,1.001330,0.002094,-25.037571,-0.003623,0.000021,-0.000681
10.399664,0.004746,1.001328,0.002083,-25.037420,-0.003608,0.000021,-0.000686
10.402713,0.004730,1.001326,0.002072,-25.037270,-0.003592,0.000021,-0.000690
10.405762,0.004715,1.001323,0.002061,-25.037120,-0.003577,0.000021,-0.000694
10.408811,0.004700,1.001321,0.002050,-25.036970,-0.003561,0.000021,-0.000699
10.411860,0.004685,1.001319,0.002039,-25.036822,-0.003546,0.000021,-0.000703
10.414909,0.004670,1.001317,0.002029,-25.036673,-0.003530,0.000021,-0.000707
10.417958,0.004655,1.001315,0.002018,-25.036525,-0.003515,0.000020,-0.000711
10.421007,0.004639,1.001313,0.002007,-25.036377,-0.003500,0.000020,-0.000715
10.424056,0.004624,1.001310,0.001996,-25.036230,-0.003485,0.000020,-0.000719
